1-c;0;c;0;0
s*(1-c);(1-c)*(1-s);c*s;c*(1-s);0
0;w*(1-c);1-w;c*w;0
0;(1-c)*w*s;(1-w)*s;(1-w)*(1-s)+c*w*s;w*(1-s)
0;s*(1-c);0;s*c;1-s
